github_url,stars
github.com/0satoken/eclairs,1
github.com/1054/crab.toolkit.michi2,2
github.com/1313e/cmasher,456
github.com/1313e/prism,46
github.com/21cmfast/21cmemu,4
github.com/3fon3fonov/exostriker,124
github.com/4pisky/fourpisky-core,2
github.com/918particle/askaryanmodule,1
github.com/a-davies/lenscnn,2
github.com/a-griffiths/autospec,5
github.com/aabdurrouf/pixedfit,47
github.com/aakepley/autobox,4
github.com/aamedinburgh/igmtransmission,0
github.com/aarhuscosmology/connect_public,12
github.com/aarhuscosmology/prospect_public,14
github.com/aarondavidschneider/chemcomp,10
github.com/aarondotter/iso,37
github.com/aaryapatil/tapify,14
github.com/aasensio/hazel,7
github.com/aasensio/molpop-cep,3
github.com/aasensio/sicon,10
github.com/aavso/vstar,11
github.com/abacusorg/zeldovich-plt,14
github.com/abaleato/cardiac,3
github.com/abatten/fruitbat,17
github.com/abeelen/powspec,0
github.com/abhisrkckl/gwecc,4
github.com/abhisrkckl/gwecc.jl,6
github.com/abhisrkckl/vela.jl,13
github.com/abmantz/lmc,4
github.com/abmantz/lrgs,20
github.com/abmantz/rgw,2
github.com/abonaldi/trecs,15
github.com/aboucaud/pypher,54
github.com/abs2k12/cocoa,4
github.com/acbecker/hotpants,49
github.com/accarnall/bagpipes,89
github.com/accarnall/spectres,67
github.com/achael/eht-imaging,5303
github.com/aconley/mbb_emcee,9
github.com/aconley/simple_cosfitter,0
github.com/acs-community/acs,29
github.com/acshu/transit-gui,2
github.com/actcollaboration/zcluster,8
github.com/adamjermyn/skye,9
github.com/adammoss/supernovae,12
github.com/adcameron/ffancy,5
github.com/adrijd/beamconv,10
github.com/adrn/gala,141
github.com/adrn/pyia,20
github.com/adrn/schwimmbad,119
github.com/adrn/superfreq,4
github.com/adrn/thejoker,32
github.com/adthomas-astro/oxaf,1
github.com/aemulusproject/bias_emulator,1
github.com/aer-rc/lblrtm,93
github.com/aewallin/allantools,245
github.com/afarahi/kllr,11
github.com/afarahi/pope,4
github.com/afarahi/tatter,3
github.com/afd-illinois/ebhlight,17
github.com/afd-illinois/grim,14
github.com/afd-illinois/iharm3d,16
github.com/afeinstein20/eleanor,98
github.com/afeinstein20/stella,26
github.com/ageller/firefly,73
github.com/agentm-geg/residual_feature_extraction,3
github.com/ageorgakakis/structurefunction,2
github.com/agnieszkajaniuk/gladis,0
github.com/agree019/darkcappy,7
github.com/agreenbaum/gsgs,6
github.com/agreenbaum/implaneia,5
github.com/agsreejith/control,2
github.com/agurvich/fire_studio,14
github.com/ahmed-f-alrefaie/taurex3_public,0
github.com/ahoward-cf/ppmap,5
github.com/ahwkuepper/mcluster,23
github.com/aibhleog/baryon-sweep,4
github.com/aignesti/pt-rex,4
github.com/aimalz/qp,3
github.com/ajeldorado/falco-matlab,22
github.com/ajeldorado/falco-python,11
github.com/ajosephy/clustering,0
github.com/ajshajib/dolphin,21
github.com/ajshajib/lensingetc,2
github.com/ajwheeler/korg.jl,56
github.com/akdeniz-uzay/a-track,19
github.com/akhughes1994/polkat,4
github.com/akleroy/phangs_imaging_scripts,30
github.com/alejandroaviles/fkpt,5
github.com/alejandrobll/py-sphviewer,77
github.com/alejostark/phase_space_cosmo_fisher,1
github.com/alessandramb/nbsymple,0
github.com/alessiospuriomancini/cosmopower,72
github.com/alex88ridolfi/pysolator,3
github.com/alexander-mead/collapse,2
github.com/alexander-mead/hmcode,17
github.com/alexander-mead/pyhalomodel,17
github.com/alexandrosantoniadis/odusseas,6
github.com/alexji/lesspayne,4
github.com/alexmaraio/weaklensingqml,4
github.com/alexpietrow/coco,6
github.com/alexrhowe/apollo,4
github.com/alexrhowe/exovista,9
github.com/allinnell/binsyn,2
github.com/alphaparrot/exoplasim,87
github.com/alphapsa/pipe,13
github.com/altjerue/paramo,2
github.com/alymantara/pydoppler,10
github.com/amanchokshi/embers,3
github.com/amerand/candid,9
github.com/amerand/pmoired,17
github.com/amerand/spips,2
github.com/amrex-astro/castro,322
github.com/amrex-astro/maestro,33
github.com/amrex-astro/maestroex,43
github.com/amrex-astro/nyx,96
github.com/amrex-astro/wdmerger,4
github.com/amrex-codes/amrex,638
github.com/amrvac/amrvac,88
github.com/amusecode/amuse,172
github.com/amusecode/seba,4
github.com/amusecode/starlab,0
github.com/amusecode/tres,12
github.com/an0wen/mardigras,7
github.com/anchal-009/saved21cm,0
github.com/andersdot/photoparallax,2
github.com/andizq/sf3dmodels,16
github.com/andreacaldiroli/ates-code,19
github.com/andreatramacere/jetset,36
github.com/andreimesinger/21cmfast,29
github.com/andrenicolaschene/dragraces,3
github.com/andresgranadosc/galrotpy,17
github.com/andresmegias/gildas-class-python,3
github.com/andresmegias/radex-python,1
github.com/andresmegias/richvalues,12
github.com/andrew-saydjari/cloudcoverr.jl,7
github.com/andrewannex/spiceypy,439
github.com/andrewbuck/orsa,2
github.com/andreytavleev/alphadisc,3
github.com/andycasey/sick,11
github.com/andycasey/smhr,17
github.com/andymummeryastro/tidalspin,1
github.com/aneeshnaik/lintsampler,12
github.com/aneeshnaik/spam,0
github.com/anguswright/lambdar,8
github.com/aninatimmermann/eccoplanets,3
github.com/anirbancosmo/limpy,3
github.com/anisotropela/igmtransfer,0
github.com/anitapetzler/amoeba,2
github.com/ankitbarik/planetmagfields,42
github.com/annacrnn/rebound_fragmentation,6
github.com/annayqho/thecannon,42
github.com/annehutter/astraeus,3
github.com/annehutter/grid-model,10
github.com/annehutter/polyspectrum,3
github.com/antoinedarveau/jwst,1
github.com/antoinemarchal/rohsa,16
github.com/antonpannekoek/sunbather,6
github.com/anuwu/gothic,0
github.com/aobr/gsf,2
github.com/aotools/aotools,133
github.com/apertif/apercal,3
github.com/aplpy/aplpy,174
github.com/aprsa/dips,7
github.com/aprsa/ebai,3
github.com/archaeo-pteryx/powerspeccovfft,4
github.com/argiopetech/base,11
github.com/argonnecpac/diffmah,9
github.com/argonnecpac/diffstar,8
github.com/argonnecpac/dsps,29
github.com/arhstevens/darksage,12
github.com/ariedel/lacewing,2
github.com/arielmission-space/exosim2-public,12
github.com/aringlis/afino_release_version,10
github.com/aristr/pyrate,13
github.com/aritrachakrabarty/gps,2
github.com/aritraghsh09/gamornet,2
github.com/aritraghsh09/gampen,9
github.com/arjunsavel/simmer,8
github.com/arnaudcassan/microlensing,0
github.com/arnauqb/qwind,3
github.com/arnauqb/qwind.jl,2
github.com/aroffringa/aartfaac2ms,2
github.com/artificialstellarpopulations/artpop,61
github.com/artis-mcrt/artis,17
github.com/arviz-devs/arviz,1710
github.com/asgr/celestial,9
github.com/asgr/hyper.fit,7
github.com/asgr/nfwdist,0
github.com/asgr/profound,48
github.com/asgr/profuse,8
github.com/asgr/propane,1
github.com/asgr/prospect,26
github.com/asgr/rfits,11
github.com/asgr/rwcs,7
github.com/ashleychontos/pysyd,27
github.com/ashleyspindler/astrovader-public,3
github.com/askap-craco/celebi,5
github.com/assumpcaothiago/nrpyelliptic,7
github.com/astarvienna/skycalc_ipy,4
github.com/astertaylor/samus,1
github.com/astro-datalab/nsc,6
github.com/astro-friedel/cadre,1
github.com/astro-group-bristol/gradus.jl,28
github.com/astro-informatics/bianchi,0
github.com/astro-informatics/comb,0
github.com/astro-informatics/darkmappy,2
github.com/astro-informatics/fastcswt,4
github.com/astro-informatics/flag-archive,1
github.com/astro-informatics/flaglet-archive,0
github.com/astro-informatics/harmonic,69
github.com/astro-informatics/massmappy,6
github.com/astro-informatics/quantifai,10
github.com/astro-informatics/requisim,1
github.com/astro-informatics/s2,0
github.com/astro-informatics/s2fft,198
github.com/astro-informatics/s2let,19
github.com/astro-informatics/ssht,12
github.com/astro-informatics/stringgen,3
github.com/astro-sean/autophot,28
github.com/astro-sean/escatter,3
github.com/astro-seanwhy/exoint,3
github.com/astroaccelerateorg/astro-accelerate,47
github.com/astroboylrx/plan,5
github.com/astroboylrx/rubble,6
github.com/astrobrent/itera,1
github.com/astrobrent/mappings,4
github.com/astrocaroline/opacity-wizard,5
github.com/astrocatalogs/astrocats,40
github.com/astrochem/visible,13
github.com/astrockragh/mangrove,24
github.com/astrocv/astrocv,85
github.com/astrogilda/mirkwood,10
github.com/astrogpu/swarm,17
github.com/astrom-tom/spartan,1
github.com/astrom-tom/specstack,3
github.com/astromatic/swarp,40
github.com/astromatic/visiomatic,40
github.com/astromatic/weightwatcher,2
github.com/astromb/picsar2d,7
github.com/astromer-science/main-code,6
github.com/astroml/gatspy,87
