library_name,github_url,stars
skyfielders/python-skyfield,https://github.com/skyfielders/python-skyfield,1570
dstndstn/astrometry.net,https://github.com/dstndstn/astrometry.net,750
astropy/astroquery,https://github.com/astropy/astroquery,739
einsteinpy/einsteinpy,https://github.com/einsteinpy/einsteinpy,650
lightkurve/lightkurve,https://github.com/lightkurve/lightkurve,459
gwpy/gwpy,https://github.com/gwpy/gwpy,378
gwastro/pycbc,https://github.com/gwastro/pycbc,346
amrex-astro/castro,https://github.com/amrex-astro/castro,322
healpy/healpy,https://github.com/healpy/healpy,285
astropy/photutils,https://github.com/astropy/photutils,276
lesgourg/class_public,https://github.com/lesgourg/class_public,267
spacepy/spacepy,https://github.com/spacepy/spacepy,253
scottransom/presto,https://github.com/scottransom/presto,250
galsim-developers/galsim,https://github.com/galsim-developers/galsim,247
jobovy/galpy,https://github.com/jobovy/galpy,246
radis/radis,https://github.com/radis/radis,245
spacetelescope/poppy,https://github.com/spacetelescope/poppy,243
minaskar/zeus,https://github.com/minaskar/zeus,237
tardis-sn/tardis,https://github.com/tardis-sn/tardis,220
astropy/astroplan,https://github.com/astropy/astroplan,209
johannesbuchner/pymultinest,https://github.com/johannesbuchner/pymultinest,205
henrysky/astronn,https://github.com/henrysky/astronn,201
sep-developers/sep,https://github.com/sep-developers/sep,201
astro-informatics/s2fft,https://github.com/astro-informatics/s2fft,198
stingraysoftware/stingray,https://github.com/stingraysoftware/stingray,198
johannesbuchner/ultranest,https://github.com/johannesbuchner/ultranest,187
astropy/specutils,https://github.com/astropy/specutils,186
mperrin/poppy,https://github.com/mperrin/poppy,184
pypeit/pypeit,https://github.com/pypeit/pypeit,183
sczesla/pyastronomy,https://github.com/sczesla/pyastronomy,166
cmbant/getdist,https://github.com/cmbant/getdist,165
quatrope/astroalign,https://github.com/quatrope/astroalign,151
polymathicai/astroclip,https://github.com/polymathicai/astroclip,146
adrn/gala,https://github.com/adrn/gala,141
deepsphere/deepsphere-cosmo-tf1,https://github.com/deepsphere/deepsphere-cosmo-tf1,133
skypyproject/skypy,https://github.com/skypyproject/skypy,125
astropy/reproject,https://github.com/astropy/reproject,116
astropy/halotools,https://github.com/astropy/halotools,115
galacticdynamics-oxford/agama,https://github.com/galacticdynamics-oxford/agama,103
lwang-astro/petar,https://github.com/lwang-astro/petar,101
michellelochner/astronomaly,https://github.com/michellelochner/astronomaly,100
radio-astro-tools/spectral-cube,https://github.com/radio-astro-tools/spectral-cube,99
amrex-astro/nyx,https://github.com/amrex-astro/nyx,96
autostronomy/astrophot,https://github.com/autostronomy/astrophot,94
radioastronomysoftwaregroup/pyuvdata,https://github.com/radioastronomysoftwaregroup/pyuvdata,92
astropy/ccdproc,https://github.com/astropy/ccdproc,90
astroml/gatspy,https://github.com/astroml/gatspy,87
astrocv/astrocv,https://github.com/astrocv/astrocv,85
spacetelescope/astronify,https://github.com/spacetelescope/astronify,82
astrorama/sourcextractorplusplus,https://github.com/astrorama/sourcextractorplusplus,81
astropy/pyvo,https://github.com/astropy/pyvo,79
astropy/astroscrappy,https://github.com/astropy/astroscrappy,77
sncosmo/sncosmo,https://github.com/sncosmo/sncosmo,77
alessiospuriomancini/cosmopower,https://github.com/alessiospuriomancini/cosmopower,72
astro-informatics/harmonic,https://github.com/astro-informatics/harmonic,69
astropy/spisea,https://github.com/astropy/spisea,66
astroua/turbustat,https://github.com/astroua/turbustat,66
pynucastro/pynucastro,https://github.com/pynucastro/pynucastro,63
artificialstellarpopulations/artpop,https://github.com/artificialstellarpopulations/artpop,61
cmateu/galstreams,https://github.com/cmateu/galstreams,58
